"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 04 19:55:24 IST 2022","Thu Aug 04 19:55:32 IST 2022","8071","","example2.spec.js","","","","@Smoke",""
"passed","Thu Aug 04 19:55:24 IST 2022","Thu Aug 04 19:55:32 IST 2022","8110","","example1.spec.js","","","","@Smoke",""
