"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 30 12:08:52 GMT 2022","Fri Sep 30 12:08:53 GMT 2022","837","firefox","example1.spec.js","","","","Test 5 -> @Smoke",""
"passed","Fri Sep 30 12:08:46 GMT 2022","Fri Sep 30 12:08:46 GMT 2022","499","chrome","example2.spec.js","","","","@Smoke",""
"passed","Fri Sep 30 12:08:42 GMT 2022","Fri Sep 30 12:08:43 GMT 2022","1065","chrome","example1.spec.js","","","","Test 1 -> @Smoke",""
"passed","Fri Sep 30 12:08:51 GMT 2022","Fri Sep 30 12:08:52 GMT 2022","834","firefox","example1.spec.js","","","","Test 4 -> @Smoke",""
"passed","Fri Sep 30 12:08:50 GMT 2022","Fri Sep 30 12:08:51 GMT 2022","885","firefox","example1.spec.js","","","","Test 3 -> @Smoke",""
"passed","Fri Sep 30 12:08:49 GMT 2022","Fri Sep 30 12:08:50 GMT 2022","891","firefox","example1.spec.js","","","","Test 2 ->  @Smoke",""
"passed","Fri Sep 30 12:08:53 GMT 2022","Fri Sep 30 12:08:54 GMT 2022","888","firefox","example2.spec.js","","","","@Smoke",""
"passed","Fri Sep 30 12:08:43 GMT 2022","Fri Sep 30 12:08:45 GMT 2022","1524","chrome","example1.spec.js","","","","Test 3 -> @Smoke",""
"passed","Fri Sep 30 12:08:45 GMT 2022","Fri Sep 30 12:08:45 GMT 2022","588","chrome","example1.spec.js","","","","Test 4 -> @Smoke",""
"passed","Fri Sep 30 12:08:47 GMT 2022","Fri Sep 30 12:08:49 GMT 2022","2468","firefox","example1.spec.js","","","","Test 1 -> @Smoke",""
"passed","Fri Sep 30 12:08:45 GMT 2022","Fri Sep 30 12:08:46 GMT 2022","500","chrome","example1.spec.js","","","","Test 5 -> @Smoke",""
"passed","Fri Sep 30 12:08:43 GMT 2022","Fri Sep 30 12:08:43 GMT 2022","535","chrome","example1.spec.js","","","","Test 2 ->  @Smoke",""
